"year","agDistrict","agDistrictCode","county","countyANSI","cornPlanted","cornHarvested","cornYield","cvCornPlanted","cvCornHarvested","cvCornYield","cornPercentHarvest"
2019,"NORTHWEST",10,"FULTON",51,37000,35000,"176.6",NA,NA,NA,0.945945945945946
2019,"NORTHWEST",10,"LUCAS",95,12000,11500,"182.6",NA,NA,NA,0.958333333333333
2019,"NORTHWEST",10,"OTHER COUNTIES",NA,155000,141500,"176.3",NA,NA,NA,0.912903225806452
2019,"NORTHWEST",10,"PUTNAM",137,44000,41000,"169.5",NA,NA,NA,0.931818181818182
2019,"NORTHWEST",10,"VAN WERT",161,53000,48000,"181.3",NA,NA,NA,0.905660377358491
2019,"NORTHWEST",10,"WILLIAMS",171,17000,16000,"156.3",NA,NA,NA,0.941176470588235
2019,"SOUTH CENTRAL",80,"ADAMS",1,16500,15500,"158.1",NA,NA,NA,0.939393939393939
2019,"SOUTH CENTRAL",80,"BROWN",15,22200,21000,"176.2",NA,NA,NA,0.945945945945946
2019,"SOUTH CENTRAL",80,"GALLIA",53,3600,3200,"150",NA,NA,NA,0.888888888888889
2019,"SOUTH CENTRAL",80,"HIGHLAND",71,39300,37000,"173.8",NA,NA,NA,0.94147582697201
2019,"SOUTH CENTRAL",80,"JACKSON",79,3000,2700,"140.7",NA,NA,NA,0.9
2019,"SOUTH CENTRAL",80,"LAWRENCE",87,1400,1100,"127.3",NA,NA,NA,0.785714285714286
2019,"SOUTH CENTRAL",80,"PIKE",131,14500,13500,"148.1",NA,NA,NA,0.931034482758621
2019,"SOUTH CENTRAL",80,"SCIOTO",145,9500,9000,"157.8",NA,NA,NA,0.947368421052632
2019,"SOUTHEAST",90,"ATHENS",9,2900,2500,"164",NA,NA,NA,0.862068965517241
2019,"SOUTHEAST",90,"GUERNSEY",59,4000,3000,"136.7",NA,NA,NA,0.75
2019,"SOUTHEAST",90,"MEIGS",105,2700,2300,"143.5",NA,NA,NA,0.851851851851852
2019,"SOUTHEAST",90,"MORGAN",115,4500,3500,"128.6",NA,NA,NA,0.777777777777778
2019,"SOUTHEAST",90,"MUSKINGUM",119,19400,18000,"179.4",NA,NA,NA,0.927835051546392
2019,"SOUTHEAST",90,"NOBLE",121,600,400,"137.5",NA,NA,NA,0.666666666666667
2019,"SOUTHEAST",90,"OTHER COUNTIES",NA,23200,21800,"164.8",NA,NA,NA,0.939655172413793
2019,"SOUTHEAST",90,"WASHINGTON",167,9700,7500,"169.7",NA,NA,NA,0.77319587628866
2019,"SOUTHWEST",70,"CLERMONT",25,14000,13500,"170.4",NA,NA,NA,0.964285714285714
2019,"SOUTHWEST",70,"CLINTON",27,74000,72500,"185.5",NA,NA,NA,0.97972972972973
2019,"SOUTHWEST",70,"GREENE",57,61000,59000,"178.8",NA,NA,NA,0.967213114754098
2019,"SOUTHWEST",70,"MONTGOMERY",113,34000,33800,"167.2",NA,NA,NA,0.994117647058824
2019,"SOUTHWEST",70,"OTHER COUNTIES",NA,31000,28000,"160.7",NA,NA,NA,0.903225806451613
2019,"SOUTHWEST",70,"PREBLE",135,79000,77400,"179.6",NA,NA,NA,0.979746835443038
2019,"SOUTHWEST",70,"WARREN",165,22000,21800,"167.4",NA,NA,NA,0.990909090909091
2019,"WEST CENTRAL",40,"AUGLAIZE",11,51000,46000,"160.9",NA,NA,NA,0.901960784313726
2019,"WEST CENTRAL",40,"CHAMPAIGN",21,82000,81000,"148.1",NA,NA,NA,0.98780487804878
2019,"WEST CENTRAL",40,"CLARK",23,60000,57000,"154.4",NA,NA,NA,0.95
2019,"WEST CENTRAL",40,"DARKE",37,118000,109000,"160.6",NA,NA,NA,0.923728813559322
2019,"WEST CENTRAL",40,"HARDIN",65,48000,42000,"138.1",NA,NA,NA,0.875
2019,"WEST CENTRAL",40,"LOGAN",91,49000,47000,"131.9",NA,NA,NA,0.959183673469388
